testID,assessmentItemID,difficultyLevel,discriminationLevel,guessLevel,knowledgeTag,Timestamp
A010000001,A010001001,-3.7197147455,0.7211787505,0.0100890361,5844,2021-01-08 06:08:25.336946
A010000001,A010001002,-2.9175769456,1.3497189332,0.0127800819,5844,2021-01-08 06:08:25.336946
A010000001,A010001003,-2.2731377816,1.1929805004,0.0501278292,5844,2021-01-08 06:08:25.336946
A010000001,A010001004,-2.3028673732,1.732753968,0.0062238982,5844,2021-01-08 06:08:25.336946
A010000001,A010001005,-1.6116474953,1.9112646877,0.0002348796,5844,2021-01-08 06:08:25.336946
A010000002,A010002001,-2.1017476435,32.8466707766,0.0010613873,6803,2021-01-08 06:08:25.336946
A010000002,A010002002,-1.9553198727,1.7434213573,4.3421e-06,5844,2021-01-08 06:08:25.336946
A010000002,A010002003,-2.6076871802,1.9890514451,0.0003073776,5844,2021-01-08 06:08:25.336946
A010000002,A010002004,-1.9012683186,4.1490404313,0.2961988628,5844,2021-01-08 06:08:25.336946
A010000002,A010002005,-1.7612431882,1.0008101869,3.1111e-06,6803,2021-01-08 06:08:25.336946
A010000003,A010003001,-2.4814522079,1.8119690336,2.93459e-05,6806,2021-01-08 06:08:25.336946
A010000003,A010003002,-2.3312278538,3.6126270413,5.18868e-05,6804,2021-01-08 06:08:25.336946
A010000003,A010003003,-1.5820761028,1.5418680974,1.319e-07,6806,2021-01-08 06:08:25.336946
A010000003,A010003004,-0.446694693,1.3040388918,0.0005306151,6804,2021-01-08 06:08:25.336946
A010000003,A010003005,-1.7173911695,1.0118738182,0.0005900661,6307,2021-01-08 06:08:25.336946
A010000004,A010004001,-3.9567942923,0.7722381108,0.0034796179,6806,2021-01-08 06:08:25.336946
A010000004,A010004002,-2.3975510154,2.3922694331,0.0011535419,5845,2021-01-08 06:08:25.336946
A010000004,A010004003,-1.7271154633,3.3492702494,0.2789439174,6806,2021-01-08 06:08:25.336946
A010000004,A010004004,-2.7425642096,1.5005127981,0.0021080226,6804,2021-01-08 06:08:25.336946
A010000004,A010004005,-0.373826023,0.7093681151,0.0338561669,5845,2021-01-08 06:08:25.336946
A010000005,A010005001,-2.1594803498,1.4046847072,2.41e-08,5846,2021-01-08 06:08:25.336946
